u00000000:('Miguel Costa', 'Natal/RN', (24, 8, 1992))
u00000001:('Matilde Jesus', 'Recife/PE', (22, 8, 1989))
u00000002:('Beatriz Pinto', 'Belem/PA', (19, 3, 1997))
u00000003:('Maria Albuquerque', 'Natal/RN', (22, 2, 2003))
u00000004:('Daniel Braganca', 'Guarulhos/SP', (18, 10, 1980))
u00000005:('Leonor Souza', 'Belem/PA', (9, 11, 2003))
u00000006:('Tiago Braga', 'Curitiba/PR', (20, 3, 2002))
u00000007:('Francisco Pinto', 'Duque de Caxias/RJ', (6, 4, 1987))
u00000008:('Tomas Correia', 'Manaus/AM', (3, 2, 1992))
u00000009:('Jose Martins', 'Curitiba/PR', (20, 8, 2001))
u00000010:('Daniel Alvares', 'Curitiba/PR', (23, 7, 2004))
u00000011:('Daniela Santos', 'Sao Goncalo/RJ', (22, 10, 1995))
u00000012:('Francisco Braga', 'Manaus/AM', (9, 1, 2003))
u00000013:('Madalena Martins', 'Brasilia/DF', (2, 10, 2004))
u00000014:('Rafael Souza', 'Campinas/SP', (17, 4, 1999))
u00000015:('Caio Braganca', 'Natal/RN', (3, 5, 2004))
u00000016:('Beatriz Sampaio', 'Fortaleza/CE', (27, 1, 1981))
u00000017:('Pedro Castro', 'Sao Paulo/SP', (18, 7, 2003))
u00000018:('Tatiana Albuquerque', 'Salvador/BA', (8, 10, 1994))
u00000019:('Catarina Pereira', 'Maceio/AL', (8, 8, 1986))
u00000020:('Bruna Mendes', 'Sao Luis/MA', (28, 6, 2002))
u00000021:('Paula Ferreira', 'Goiania/GO', (27, 2, 1989))
u00000022:('Daniel Vaz', 'Goiania/GO', (26, 10, 1999))
u00000023:('Tiago Gama', 'Fortaleza/CE', (17, 11, 1995))
u00000024:('Leonor Pereira', 'Recife/PE', (15, 12, 1990))
u00000025:('Daniela Gama', 'Porto Alegre/RS', (7, 4, 1997))
u00000026:('Denise Cruz', 'Sao Goncalo/RJ', (20, 7, 1992))
u00000027:('Joao Ferreira', 'Curitiba/PR', (3, 4, 1997))
u00000028:('Fabio Guimaraes', 'Brasilia/DF', (19, 1, 2004))
u00000029:('Beatriz Teixeira', 'Curitiba/PR', (19, 9, 2002))
u00000030:('Tomas Vaz', 'Campinas/SP', (18, 8, 1986))
u00000031:('Maria Braganca', 'Goiania/GO', (1, 1, 2001))
u00000032:('Diogo Silva', 'Salvador/BA', (4, 2, 2003))
u00000033:('Elisa Santos', 'Campinas/SP', (3, 10, 1980))
u00000034:('Marcos Lopes', 'Guarulhos/SP', (9, 9, 1985))
u00000035:('Bruna Silva', 'Belem/PA', (16, 12, 1991))
u00000036:('Pedro Lopes', 'Sao Goncalo/RJ', (10, 12, 1984))
u00000037:('Maria Mendes', 'Duque de Caxias/RJ', (18, 11, 1986))
u00000038:('Maria Souza', 'Fortaleza/CE', (12, 6, 1995))
u00000039:('Rafael Mendes', 'Porto Alegre/RS', (20, 8, 1980))
u00000040:('Joao Castro', 'Natal/RN', (27, 10, 1999))
u00000041:('Daniela Carvalho', 'Belo Horizonte/MG', (22, 7, 1981))
u00000042:('Diogo Albuquerque', 'Sao Luis/MA', (24, 5, 1994))
u00000043:('Mariana Martins', 'Brasilia/DF', (23, 11, 1989))
u00000044:('Paula Marques', 'Duque de Caxias/RJ', (15, 7, 2000))
u00000045:('Madalena Albuquerque', 'Belo Horizonte/MG', (17, 6, 1983))
u00000046:('Denise Souza', 'Guarulhos/SP', (16, 9, 1989))
u00000047:('Bruna Pereira', 'Natal/RN', (23, 2, 1991))
u00000048:('Bruna Sampaio', 'Curitiba/PR', (6, 5, 1990))
u00000049:('Bruno Albuquerque', 'Belem/PA', (5, 11, 1981))
u00000050:('Catarina Rodrigues', 'Sao Goncalo/RJ', (19, 10, 2004))
u00000051:('Tomas Rodrigues', 'Porto Alegre/RS', (12, 8, 1997))
u00000052:('Catarina Alvares', 'Curitiba/PR', (8, 12, 1991))
u00000053:('Larissa Mendes', 'Campo Grande/MS', (26, 4, 1980))
u00000054:('Francisca Nunes', 'Recife/PE', (8, 5, 1991))
u00000055:('Fatima Marques', 'Sao Goncalo/RJ', (13, 4, 1985))
u00000056:('Tatiana Martins', 'Manaus/AM', (27, 10, 1999))
u00000057:('Fabio Castro', 'Belem/PA', (22, 7, 2000))
u00000058:('Carolina Pinto', 'Goiania/GO', (3, 5, 1983))
u00000059:('Elisa Correia', 'Porto Alegre/RS', (11, 10, 1983))
u00000060:('Diogo Costa', 'Belem/PA', (17, 4, 1987))
u00000061:('Catarina Cruz', 'Sao Paulo/SP', (18, 5, 1983))
u00000062:('Afonso Correia', 'Duque de Caxias/RJ', (7, 9, 1984))
u00000063:('Juliana Veiga', 'Campo Grande/MS', (12, 11, 2003))
